hdi_rank,country,human_development_index_hdi,life_expectancy_at_birth,expected_years_of_schooling,mean_years_of_schooling,gross_national_income_gni_per_capita
74.0,Bosnia and Herzegovina,0.78,75.3003,13.8,10.53631973,15241.91465
75.0,Saint Kitts and Nevis,0.777,71.6822,15.42769157,8.662745,23358.33212
76.0,Iran (Islamic Republic of),0.774,73.8749,14.61524963,10.63645314,13000.7117
77.0,Ukraine,0.773,71.624,14.95656854,11.13142043,13255.50977
78.0,North Macedonia,0.77,73.8415,13.62443234,10.22815037,15917.75283
79.0,China,0.768,78.2107,14.2361149,7.600118446,17504.39969
80.0,Dominican Republic,0.767,72.6146,14.46655802,9.306864107,17989.60037
80.0,Moldova (Republic of),0.767,68.8459,14.43299961,11.82159042,14875.33189
80.0,Palau,0.767,66.0204,15.78432,12.49143,13818.67869
83.0,Cuba,0.764,73.6829,14.44305992,12.49773438,7878.847482
84.0,Peru,0.762,72.3769,15.38773354,9.885518863,12245.89366
85.0,Armenia,0.759,72.0431,13.11676025,11.33030033,13157.9939
86.0,Mexico,0.758,70.2127,14.86443996,9.221050262,17896.29498
87.0,Brazil,0.754,72.7504,15.59906006,8.128813955,14369.88848
88.0,Colombia,0.752,72.8296,14.44274998,8.862859726,14384.35666
89.0,Saint Vincent and the Grenadines,0.751,69.6291,14.67220567,10.83343029,11961.08792
90.0,Maldives,0.747,79.9182,12.63560963,7.322,15448.12788
91.0,Algeria,0.745,76.3767,14.62689602,8.069284397,10800.22546
91.0,Azerbaijan,0.745,69.3658,13.49689007,10.5429697,14256.74456
91.0,Tonga,0.745,70.9857,16.04857063,11.392594,6822.03125
91.0,Turkmenistan,0.745,69.2644,13.21039963,11.26139,13020.7155
95.0,Ecuador,0.74,73.67,14.62423038,8.817119598,10311.63273
96.0,Mongolia,0.739,70.9754,14.98034954,9.423700333,10588.22532
97.0,Egypt,0.731,70.2207,13.78649972,9.573026174,11731.69056
97.0,Tunisia,0.731,73.7719,15.42538224,7.431598614,10257.54477
99.0,Fiji,0.73,67.114,14.73679,10.92154799,9980.110866
99.0,Suriname,0.73,70.2743,13.03564357,9.77680063,12672.20033
101.0,Uzbekistan,0.727,70.8616,12.47714043,11.89558983,7916.785725
102.0,Dominica,0.72,72.814,13.3191862,8.142186,11487.62422
102.0,Jordan,0.72,74.2563,10.64655972,10.44668007,9923.714974
104.0,Libya,0.718,71.9112,12.85428,7.599985,15335.712
105.0,Paraguay,0.717,70.2617,12.98799113,8.861840248,12349.286
106.0,"Palestine, State of",0.715,73.4727,13.35801029,9.938480377,6582.899416
106.0,Saint Lucia,0.715,71.1114,12.86610985,8.545040131,12048.30381
108.0,Guyana,0.714,65.6734,12.50272216,8.617477,22464.65734
109.0,South Africa,0.713,62.341,13.64371014,11.37316036,12948.37325
110.0,Jamaica,0.709,70.5003,13.40492042,9.154628661,8834.47567
111.0,Samoa,0.707,72.7675,12.41885948,11.4038,5307.953374
112.0,Gabon,0.706,65.821,12.97731,9.436,13366.93455
112.0,Lebanon,0.706,75.0472,11.28587,8.718636,9525.831467
114.0,Indonesia,0.705,67.5703,13.74889386,8.556509972,11466.06836
115.0,Viet Nam,0.703,73.6181,12.9519325,8.370280266,7867.371345
